"Longitude.x.","Latitude.y.","Aepyceros.melampus","Alcelaphus.buselaphus","Beatragus.hunteri","Cephalophus.adersi","Cephalophus.callipygus","Cephalophus.dorsalis","Cephalophus.harveyi","Cephalophus.jentinki","Cephalophus.leucogaster","Cephalophus.natalensis","Cephalophus.niger","Cephalophus.nigrifrons","Cephalophus.ogilbyi","Cephalophus.rufilatus","Cephalophus.silvicultor","Cephalophus.spadix","Cephalophus.weynsi","Cephalophus.zebra","Ceratotherium.simum","Choeropsis.liberiensis","Connochaetes.taurinus","Damaliscus.lunatus","Diceros.bicornis","Equus.quagga","Eudorcas.thomsonii","Giraffa.camelopardalis","Hippopotamus.amphibius","Hippotragus.equinus","Hippotragus.niger","Hyemoschus.aquaticus","Hylochoerus.meinertzhageni","Kobus.ellipsiprymnus","Kobus.kob","Litocranius.walleri","Loxodonta.africana","Loxodonta.cyclotis","Madoqua.guentheri","Madoqua.kirkii","Nanger.granti","Neotragus.batesi","Neotragus.pygmaeus","Nesotragus.moschatus","Okapia.johnstoni","Oreotragus.oreotragus","Oryx.beisa","Ourebia.ourebi","Phacochoerus.aethiopicus","Phacochoerus.africanus","Philantomba.maxwellii","Philantomba.monticola","Potamochoerus.larvatus","Potamochoerus.porcus","Raphicerus.campestris","Raphicerus.sharpei","Redunca.arundinum","Redunca.fulvorufula","Redunca.redunca","Sylvicapra.grimmia","Syncerus.caffer","Tragelaphus.angasii","Tragelaphus.buxtoni","Tragelaphus.eurycerus","Tragelaphus.imberbis","Tragelaphus.oryx","Tragelaphus.scriptus","Tragelaphus.spekii","Tragelaphus.strepsiceros","BIO1","BIO2","BIO3","BIO4","BIO5","BIO6","BIO7","BIO8","BIO9","BIO10","BIO11","BIO12","BIO13","BIO14","BIO15","BIO16","BIO17","BIO18","BIO19","Total.livestock.Aw","Human.footprint","Land.Cover"
-13.0833333333333,8.41666666666667,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,26.2462596893311,7.50120449066162,76.1101455688477,77.6010055541992,31.7283134460449,21.8725910186768,9.85572242736816,25.2715358734131,26.6051216125488,27.2744979858398,25.2715358734131,2975,747,5,107.636222839355,1925,26,256,1925,6346.10794389881,51,"Waterbodies"
0.583333333333332,8.41666666666667,0,1,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,1,1,0,0,1,0,0,1,0,0,26.3256664276123,10.252082824707,71.7330169677734,134.321350097656,34.4990005493164,20.2070007324219,14.2919998168945,24.603666305542,27.0602493286133,28.0486240386963,24.603666305542,1291,234,5,76.7801361083984,627,33,184,627,3773.82651147126,7,"Shrubs Covered Area"
0.75,8.41666666666667,0,1,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,1,1,0,0,1,0,0,1,0,0,25.3901767730713,10.3811044692993,73.404899597168,131.142135620117,33.5327491760254,19.3904991149902,14.1422500610352,23.6857089996338,25.7496662139893,27.0266246795654,23.6857089996338,1304,231,6,77.1085052490234,648,33,189,648,2885.35511558505,5,"Tree Covered Area"
-13.0833333333333,8.25,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,25.6450634002686,7.28058624267578,76.3697738647461,79.4412841796875,31.0463771820068,21.5130424499512,9.53333473205566,24.6106281280518,26.0448665618896,26.665096282959,24.6106281280518,3052,757,6,107.309188842773,1974,31,267,1974,7815.46727273681,29,"CropLand"
0.583333333333332,8.25,0,1,0,0,0,1,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,1,1,0,0,1,0,0,1,0,0,25.9570941925049,10.1381883621216,73.9622268676758,127.786712646484,33.8632507324219,20.1560001373291,13.7072505950928,24.2897911071777,26.330207824707,27.5394172668457,24.2897911071777,1331,239,5,73.6545715332031,622,38,211,622,3715.83989666241,7,"Tree Covered Area"
0.75,8.25,0,1,0,0,0,1,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,1,1,0,0,1,0,0,1,0,0,24.9898014068604,10.6698122024536,73.8535919189453,131.534027099609,33.3182487487793,18.871000289917,14.4472484588623,23.2565002441406,25.4382495880127,26.582498550415,23.2565002441406,1351,240,5,73.6178359985352,643,35,225,643,2834.78931425002,6,"Shrubs Covered Area"
-10.4166666666667,8.08333333333334,0,0,0,0,0,1,0,1,0,0,1,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,25.488000869751,13.5309162139893,70.81005859375,83.3572616577148,34.9072494506836,15.7985000610352,19.1087493896484,25.0783348083496,25.3082504272461,26.3852920532227,24.5100002288818,2629,439,16,65.528205871582,1173,108,538,1171,812.754912417087,7,"Tree Covered Area"
-10.25,8.08333333333334,0,0,0,0,0,1,0,1,0,0,1,0,1,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,25.0206146240234,13.9784784317017,70.3718032836914,89.3924789428711,34.6707496643066,14.8070001602173,19.8637504577637,23.9866256713867,24.8486251831055,25.8745422363281,23.9866256713867,2595,441,18,64.689826965332,1156,113,537,1156,416.051903402767,4,"Tree Covered Area"
-7.41666666666667,8.08333333333334,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,1,0,0,1,0,0,0,0,0,1,1,0,0,1,0,0,1,0,0,24.5047302246094,12.9750003814697,68.3677444458008,105.274795532227,34.2627487182617,15.2845001220703,18.9782485961914,23.3400421142578,24.1231250762939,25.9046249389648,23.3400421142578,1324,244,9,74.1472702026367,649,53,216,649,472.98464364367,7,"Tree Covered Area"
-10.75,7.91666666666667,0,0,0,0,0,1,0,1,0,0,1,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,25.8936462402344,12.6605834960938,71.4590759277344,83.3896789550781,34.8707504272461,17.1534996032715,17.7172508239746,24.9908332824707,25.6332912445068,26.9638748168945,24.9908332824707,2682,441,15,67.1072769165039,1224,109,529,1224,2310.72573898271,9,"Tree Covered Area"
