Common,Binomial,adult_mass_g,adult_body_length_mm,det_inv,det_vend,det_vect,det_vfish,det_vunk,det_scav,det_fruit,det_nect,det_seed,det_plantother,det_diet_breadth_n,Fruit_percent,Dicot_percent,Monocot_percent,Variable,Digestion,social_group_n,
Black rhinoceros,Diceros.bicornis,995941,3300,0,0,0,0,0,0,0,0,0,100,1,NA,NA,NA,NA,Monogastric,,
Beira,Dorcatragus.megalotis,10918,822,0,0,0,0,0,0,0,0,0,100,1,5,90,5,No,Ruminant,7,
African wild ass,Equus.africanus,171249,2000,0,0,0,0,0,0,0,0,0,100,1,NA,NA,NA,NA,Monogastric,,
Grévy's zebra,Equus.grevyi,384000,2850,0,0,0,0,0,0,0,0,0,100,1,0,15,85,Yes,Monogastric,,
Plains zebra,Equus.quagga,290000,2543,0,0,0,0,0,0,0,0,0,100,1,0,10,90,Yes,Monogastric,,
Mountain zebra,Equus.zebra,296000,2475,0,0,0,0,0,0,0,0,0,100,1,0,15,85,Yes,Monogastric,,
Mongalla gazelle ,Eudorcas.albonotata,25000,1496,0,0,0,0,0,0,0,0,20,80,2,0,25,75,Yes,Ruminant,NA,
Red-fronted gazelle,Eudorcas.rufifrons,26000,1496,0,0,0,0,0,0,0,0,20,80,2,0,60,40,Yes,Ruminant,NA,
Thomson's gazelle,Eudorcas.thomsonii,23198,933,0,0,0,0,0,0,0,0,0,100,1,5,20,75,Yes,Ruminant,NA,
Heuglin's gazelle,Eudorcas.tilonura,26000,1496,0,0,0,0,0,0,0,0,20,80,2,0,60,40,Yes,Ruminant,NA,
Cuvier's gazelle,Gazella.cuvieri,20349,1340,0,0,0,0,0,0,0,0,0,100,1,NA,NA,NA,Yes,Ruminant,NA,
Dorcas gazelle ,Gazella.dorcas,47386,1600,0,0,0,0,0,0,20,0,0,80,2,25,50,25,Yes,Ruminant,6.75,
Mountain gazelle,Gazella.gazella,35318,1600,0,0,0,0,0,0,0,0,0,100,1,NA,NA,Na,Yes,Ruminant,7.2,
Rhim gazelle,Gazella.leptoceros,24646,1366,0,0,0,0,0,0,0,0,0,100,1,0,50,50,Yes,Ruminant,NA,
Speke's gazelle,Gazella.spekei,20000,1293,0,0,0,0,0,0,0,0,0,100,1,0,50,50,Yes,Ruminant,14.25,
Giraffe,Giraffa.camelopardalis,800000,4451,0,0,0,0,0,0,0,0,0,100,1,0,95,5,No,Ruminant,100,*
Hippopotamus,Hippopotamus.amphibius,2640000,5050,0,0,0,0,0,0,0,0,0,100,1,0,15,85,Yes,Pseudoruminant,NA,
Roan antelope ,Hippotragus.equinus,233500,1910,0,0,0,0,0,0,0,0,0,100,1,5,10,85,Yes,Ruminant,12,
Sable antelope ,Hippotragus.niger,225000,2353,0,0,0,0,0,0,0,0,0,100,1,5,10,85,Yes,Ruminant,15,
Water chevrotain,Hyemoschus.aquaticus,11550,800,0,0,0,0,0,0,100,0,0,0,1,100,0,0,No,Ruminant,1,
Giant forest hog,Hylochoerus.meinertzhageni,200315,2064,0,0,0,0,0,0,0,0,0,100,1,0,70,30,Yes,Monogastric,10,
Waterbuck,Kobus.ellipsiprymnus,175333,2350,0,0,0,0,0,0,0,0,0,100,1,1,15,84,Yes,Ruminant,12,
Kob,Kobus.kob,92518,2025,0,0,0,0,0,0,0,0,0,100,1,0,5,95,No,Ruminant,40,
